,Unnamed: 0,id,SCaCodigo,SCaTipo,SCaNombre,SHAPE_Leng,SHAPE_Area,areakm,count_hurtos,count_accidentes,count_alojamiento,count_sitp,count_restaurantes,count_parques,count_sitios,hurtos,accidentes,alojamiento,sitp,restaurantes,parques,sitios,c1_index,cluster
35,35,2619,2619,0,VILLA ANITA,0.0216436747584,1.20641572566e-05,0.14995946234566845,29.0,14.0,0.0,3.0,0.0,0.0,5.0,193.3855959896195,93.35856358119563,0.0,20.005406481684776,0.0,0.0,33.34234413614129,5.1239022158050105,0
36,36,4630,4630,0,PARCELA EL PORVENIR,0.0504398417907,4.91808153963e-05,0.6114536833026903,305.0,106.0,0.0,13.0,0.0,0.0,4.0,498.8112891111895,173.35736605175768,0.0,21.260809044083487,0.0,0.0,6.541787398179535,5.156363671445328,0
37,37,9215,9215,0,CASABLANCA SUBA,0.0320598096782,3.96167202651e-05,0.4926252370136308,61.0,22.0,0.0,1.0,0.0,0.0,11.0,123.82638041402687,44.658694575550676,0.0,2.0299406625250307,0.0,0.0,22.329347287775338,2.3058764932386038,3
38,38,2604,2604,0,LOS OLIVARES,0.0342677188843,3.45734659894e-05,0.4297692370483948,18.0,4.0,0.0,0.0,0.0,0.0,2.0,41.88294193326146,9.307320429613657,0.0,0.0,0.0,0.0,4.653660214806829,0.5033687725281918,3
39,39,2642,2642,0,EL PORTAL URBANO,0.00843141533883,2.65495785034e-06,0.033001788533760894,1.0,0.0,0.0,0.0,0.0,0.0,0.0,30.30138802862148,0.0,0.0,0.0,0.0,0.0,0.0,0.1131278734212741,3
40,40,2535,2535,0,PALERMO SUR,0.0178643669508,1.63106624538e-05,0.2027588609479114,79.0,51.0,0.0,7.0,0.0,0.0,10.0,389.6253886546297,251.53031419476093,0.0,34.52376861496719,0.0,0.0,49.319669449953125,9.062171567801165,0
41,41,2302,2302,0,SANTANDER SUR,0.0214499816324,2.33722235774e-05,0.2905615024639804,261.0,332.0,0.0,6.0,0.0,0.0,11.0,898.2607736630733,1142.6152369967062,0.0,20.6496729577718,0.0,0.0,37.857733755914964,14.223054316422076,0
42,42,2104,2104,0,RESTREPO OCCIDENTAL,0.028552455289,5.00705186466e-05,0.6224711174771841,693.0,385.0,0.0,11.0,0.0,0.0,19.0,1113.3046667428728,618.5025926349293,0.0,17.671502646712266,0.0,0.0,30.523504571593914,11.242226254811891,0
43,43,2107,2107,0,LA FRAGUA,0.0240812586413,2.75027075028e-05,0.3419133939057933,237.0,286.0,0.0,4.0,0.0,1.0,13.0,693.1579874443297,836.4691325277564,0.0,11.698868986402188,0.0,2.924717246600547,38.02132420580711,12.096044154810814,0
44,44,4107,4107,0,SANTA ISABEL SUR,0.022699391875999998,2.82976904775e-05,0.3517978923508921,233.0,260.0,0.0,16.0,0.0,0.0,13.0,662.3120975596975,739.0607097232676,0.0,45.48065905989339,0.0,0.0,36.95303548616338,13.113290428760099,5
45,45,2106,2106,0,SENA,0.015560249936899999,7.900261721030001e-06,0.09821614764274574,157.0,24.0,0.0,5.0,0.0,0.0,4.0,1598.5151501876896,244.35900385034745,0.0,50.90812580215572,0.0,0.0,40.72650064172458,14.434604220340455,5
46,46,2103,2103,0,RESTREPO,0.0275250610562,3.77153759378e-05,0.4688707406682933,1508.0,358.0,2.0,14.0,0.0,0.0,36.0,3216.23822772692,763.5366614895473,4.265567941282387,29.858975588976712,0.0,0.0,76.78022294308298,24.98907589809534,1
47,47,1316,1316,0,MORALBA,0.0329696634771,2.26129710315e-05,0.28110446085964663,37.0,50.0,0.0,6.0,0.0,1.0,3.0,131.62366718354508,177.86982051830415,0.0,21.3443784621965,0.0,3.557396410366083,10.67218923109825,5.542861244119774,0
