level0;id;SCaCodigo;SCaTipo;SCaNombre;SHAPE_Leng;SHAPE_Area;areakm;count_hurtos;count_accidentes;count_alojamiento;count_sitp;count_restaurantes;count_parques;count_sitios;hurtos;accidentes;alojamiento;sitp;restaurantes;parques;sitios;c1_index;cluster;
60;001344;1344;0;LOS SOCHES;0.01542799119;9.91E-06;0.1231959;17;5;0;1;0;0;3;1.379.916.053;4.058.576.626;0;8.117.153.251;0;0;2.435.145.975;2.997.663.295;3;001344
61;002630;2630;0;EL PORTAL DEL DIVINO;0.01564699289;8.85E-06;0.1100630541;31;17;0;0;0;0;3;2.816.567.309;1.544.569.169;0;0;0;0;2.725.710.299;3.667.575.303;3;002630
62;001415;1415;0;MARCO FIDEL SUAREZ I;0.03792664751;2.63E-05;0.3274922334;228;246;0;5;0;0;6;6.961.997.164;7.511.628.519;0;1.526.753.764;0;0;1.832.104.517;948.077.758;0;001415
63;004553;4553;0;ANDALUCIA II;0.02841394823;2.21E-05;0.2751708291;214;106;0;5;0;0;8;7.776.987.143;385.215.251;0;1.817.053.071;0;0;2.907.284.913;857.970.901;0;004553
64;004622;4622;0;BRASIL;0.01956863677;2.11E-05;0.2620430055;185;185;0;5;0;0;7;7.059.909.866;7.059.909.866;0;1.908.083.747;0;0;2.671.317.246;1.011.678.893;0;004622
65;006523;6523;0;SAN PEDRO DE LOS ROBLES;0.01015385795;3.77E-06;0.0468538771;39;98;2;1;0;0;4;8.323.750.865;2.091.609.192;4.268.590.187;2.134.295.093;0;0;8.537.180.374;3.325.196.315;1;006523
66;001350;1350;0;YOMASA;0.03035189772;2.13E-05;0.2645941846;36;25;0;2;0;0;2;1.360.574.121;9.448.431.393;0;7.558.745.115;0;0;7.558.745.115;220.000.536;3;001350
67;102115;102115;1;LA UNION;0.2560977245;0.001956058101;2.430.833.069;41;0;0;0;0;0;1;1.686.664.565;0;0;0;0;0;0.04113816012;0.008884078924;3;102115
68;008532;8532;0;EL REDIL;0.03886587876;2.31E-05;0.2873507245;61;39;0;5;0;0;4;212.284.135;1.357.226.437;0;1.740.033.894;0;0;1.392.027.115;3.991.262.243;3;008532
69;001101;1101;0;LAS BRISAS;0.01750865286;1.40E-05;0.1746197831;94;17;0;2;0;0;4;5.383.124.313;9.735.437.587;0;1.145.345.598;0;0;2.290.691.197;5.026.385.809;3;001101
70;104110;104110;1;QUIBA BAJO;0.1468294628;0.0007287023053;9.058.370.441;14;0;0;2;0;0;2;1.545.531.847;0;0;0.2207902639;0;0;0.2207902639;0.03907888264;3;104110
71;004641;4641;0;LA INDEPENDENCIA;0.02317092576;2.02E-05;0.2516991636;130;73;0;8;0;0;5;5.164.895.986;2.900.287.746;0;317.839.753;0;0;1.986.498.456;7.667.269.013;0;004641
72;005655;5655;0;GARCES NAVAS SUR;0.01242559189;8.20E-06;0.1019401413;58;55;0;3;0;0;5;5.689.613.461;539.532.311;0;2.942.903.514;0;0;4.904.839.191;1.094.816.909;0;005655
73;005632;5632;0;BOCHICA;0.02264429377;2.34E-05;0.2912344031;286;147;0;7;0;0;7;9.820.268.381;5.047.480.602;0;2.403.562.191;0;0;2.403.562.191;102.397.439;0;005632
74;002412;2412;0;VERONA;0.02582403174;2.82E-05;0.3509041661;269;186;0;9;0;0;21;7.665.910.696;5.300.592.526;0;2.564.802.835;0;0;5.984.539.949;1.197.704.476;0;002412
75;002519;2519;0;DANUBIO;0.02422473923;1.64E-05;0.2034919252;132;62;0;5;0;0;9;6.486.743.877;3.046.803.942;0;2.457.099.953;0;0;4.422.779.916;9.143.866.135;0;002519
76;103107;103107;1;LAS PALMAS;0.1166306397;0.0004198521759;5.216.463.338;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;103107
77;004519;4519;0;ESCOCIA;0.02197326937;2.10E-05;0.2615559607;176;83;0;11;0;0;9;6.728.961.539;3.173.317.089;0;4.205.600.962;0;0;3.440.946.241;1.022.896.589;5;004519
78;004507;4507;0;CIUDAD KENNEDY SUR;0.03027815045;4.21E-05;0.5228312701;536;194;0;20;0;1;35;1.025.187.342;3.710.566.125;0;3.825.325.902;0;1.912.662.951;6.694.320.328;1.435.641.621;0;004507
79;001357;1357;0;SANTA INES SUR II;0.01689691395;1.52E-05;0.1895713126;81;39;0;5;0;0;6;4.272.798.395;2.057.273.301;0;2.637.529.873;0;0;3.165.035.848;7.107.268.299;0;001357
80;002547;2547;0;EL TESORO;0.02084755935;1.49E-05;0.184820952;53;14;0;3;0;1;8;2.867.640.245;757.489.876;0;1.623.192.591;0;5.410.641.971;4.328.513.577;788.954.456;4;002547
81;004546;4546;0;VILLA DEL RIO;0.03418507753;5.67E-05;0.7046947634;326;202;0;12;0;1;11;4.626.116.397;2.866.489.301;0;1.702.864.932;0;141.905.411;1.560.959.521;6.464.639.434;0;004546
82;007406;7406;0;SANTA SOFIA;0.01730656302;1.87E-05;0.2321373958;292;261;1;0;0;0;7;1.257.875.746;1.124.334.143;4.307.793.652;0;0;0;3.015.455.557;1.423.607.867;1;007406
83;005507;5507;0;NORMANDIA;0.03013390008;4.57E-05;0.5681835833;835;804;11;9;0;0;28;1.469.595.435;1.415.035.604;1.935.993.986;1.583.995.079;0;0;4.927.984.691;2.308.785.887;1;005507
84;005663;5663;0;EL DORADO INDUSTRIAL;0.05300359047;4.10E-05;0.5096426315;194;232;0;10;0;0;2;3.806.588.931;4.552.209.444;0;1.962.159.243;0;0;3.924.318.486;605.232.118;0;005663
85;006415;6415;0;LA LAGUNA FONTIBON;0.01743672966;1.39E-05;0.1729371829;116;94;0;2;0;0;12;6.707.637.887;5.435.499.667;0;1.156.489.291;0;0;6.938.935.745;1.105.928.654;0;006415
86;002456;2456;0;QUIBA I;0.02176157288;1.64E-05;0.2042736217;39;43;0;3;0;0;9;1.909.203.924;2.105.019.711;0;1.468.618.403;0;0;4.405.855.209;6.004.684.446;3;002456
87;004560;4560;0;SAUCEDAL;0.00613466711;1.90E-06;0.02363409041;94;54;0;3;0;0;0;3.977.305.593;2.284.835.128;0;1.269.352.849;0;0;0;3.935.788.058;5;004560
88;001307;1307;0;RAMAJAL;0.01937381188;1.13E-05;0.1407344055;51;6;0;3;0;0;4;3.623.847.333;4.263.349.803;0;2.131.674.902;0;0;2.842.233.202;5.264.609.866;0;001307
89;008529;8529;0;SAN JOSE DE USAQUEN;0.04910312691;7.99E-05;0.9932683023;172;145;0;8;0;0;13;1.731.656.991;1.459.827.115;0;8.054.218.565;0;0;1.308.810.517;3.030.573.537;3;008529
90;101302;101302;1;MOLINO RURAL;0.009682544503;1.25E-06;0.01551899669;0;0;0;0;0;0;1;0;0;0;0;0;0;6.443.715.531;4.052.247.784;3;101302
